elevasi_mdpl,kecamatan
380.6844885,Sawang
30.64226692,Nisam
458.7136914,Nisam Antara
35.16223853,Banda Baro
140.9511071,Kuta Makmur
164.5238428,Simpang Keramat
20.0195927,Syamtalira Bayu
476.80602,Geureudong Pase
18.01961358,Meurah Mulia
11.71312822,Matangkuli
81.31527481,Paya Bakong
12.8341648,Pirak Timu
124.2881053,Cot Girek
10.3573932,Tanah Jambo Aye
70.54361833,Langkahan
3.883383291,Seunuddon
11.4462377,Baktiya
3.597598176,Baktiya Barat
12.10118031,Lhoksukon
239.4493744,Tanah Luas
17.42739567,Nibong
6.524933981,Samudera
5.364007916,Syamtalira Aron
4.662462808,Tanah Pasir
3.777861053,Lapang
10.27012673,Muara Batu
9.446829592,Dewantara
