date,curah_hujan,kecamatan
20200101,0.06,Lhoksukon
20200102,0.06,Lhoksukon
20200103,0.28,Lhoksukon
20200104,0.42,Lhoksukon
20200105,0.23,Lhoksukon
20200106,0.66,Lhoksukon
20200107,0.03,Lhoksukon
20200108,0.04,Lhoksukon
20200109,0.75,Lhoksukon
20200110,0.42,Lhoksukon
20200111,0.1,Lhoksukon
20200112,0.09,Lhoksukon
20200113,1.02,Lhoksukon
20200114,1.01,Lhoksukon
20200115,0.49,Lhoksukon
20200116,0.19,Lhoksukon
20200117,0.47,Lhoksukon
20200118,0.03,Lhoksukon
20200119,4.65,Lhoksukon
20200120,6.71,Lhoksukon
20200121,1.57,Lhoksukon
20200122,3.16,Lhoksukon
20200123,0.21,Lhoksukon
20200124,5.1,Lhoksukon
20200125,0.92,Lhoksukon
20200126,0.07,Lhoksukon
20200127,0.74,Lhoksukon
20200128,6.86,Lhoksukon
20200129,9.13,Lhoksukon
20200130,0.46,Lhoksukon
20200131,0.24,Lhoksukon
20200201,0.06,Lhoksukon
20200202,2.87,Lhoksukon
20200203,0.1,Lhoksukon
20200204,0.19,Lhoksukon
20200205,0.0,Lhoksukon
20200206,2.12,Lhoksukon
20200207,2.36,Lhoksukon
20200208,0.03,Lhoksukon
20200209,0.05,Lhoksukon
20200210,9.73,Lhoksukon
20200211,9.53,Lhoksukon
20200212,4.01,Lhoksukon
20200213,20.46,Lhoksukon
20200214,5.33,Lhoksukon
20200215,5.46,Lhoksukon
20200216,1.96,Lhoksukon
20200217,0.45,Lhoksukon
20200218,13.67,Lhoksukon
20200219,8.09,Lhoksukon
20200220,0.06,Lhoksukon
20200221,0.32,Lhoksukon
20200222,0.28,Lhoksukon
20200223,0.8,Lhoksukon
20200224,0.08,Lhoksukon
20200225,1.43,Lhoksukon
20200226,1.37,Lhoksukon
20200227,11.66,Lhoksukon
20200228,24.18,Lhoksukon
20200229,1.59,Lhoksukon
20200301,1.65,Lhoksukon
20200302,0.01,Lhoksukon
20200303,0.08,Lhoksukon
20200304,0.01,Lhoksukon
20200305,1.33,Lhoksukon
20200306,1.7,Lhoksukon
20200307,0.52,Lhoksukon
20200308,0.88,Lhoksukon
20200309,0.57,Lhoksukon
20200310,2.78,Lhoksukon
20200311,1.84,Lhoksukon
20200312,1.46,Lhoksukon
20200313,0.19,Lhoksukon
20200314,0.06,Lhoksukon
20200315,8.8,Lhoksukon
20200316,5.1,Lhoksukon
20200317,1.0,Lhoksukon
20200318,0.13,Lhoksukon
20200319,0.03,Lhoksukon
20200320,0.02,Lhoksukon
20200321,0.23,Lhoksukon
20200322,0.2,Lhoksukon
20200323,0.38,Lhoksukon
20200324,0.1,Lhoksukon
20200325,0.83,Lhoksukon
20200326,9.76,Lhoksukon
20200327,0.62,Lhoksukon
20200328,0.27,Lhoksukon
20200329,3.32,Lhoksukon
20200330,1.88,Lhoksukon
20200331,0.73,Lhoksukon
20200401,0.84,Lhoksukon
20200402,0.52,Lhoksukon
20200403,1.7,Lhoksukon
20200404,1.11,Lhoksukon
20200405,3.31,Lhoksukon
20200406,17.54,Lhoksukon
20200407,18.44,Lhoksukon
20200408,2.23,Lhoksukon
20200409,4.71,Lhoksukon
20200410,0.44,Lhoksukon
20200411,0.17,Lhoksukon
20200412,1.34,Lhoksukon
20200413,65.41,Lhoksukon
20200414,12.74,Lhoksukon
20200415,0.38,Lhoksukon
20200416,6.2,Lhoksukon
20200417,55.68,Lhoksukon
20200418,0.22,Lhoksukon
20200419,4.85,Lhoksukon
20200420,0.4,Lhoksukon
20200421,2.26,Lhoksukon
20200422,3.74,Lhoksukon
20200423,3.14,Lhoksukon
20200424,1.81,Lhoksukon
20200425,3.53,Lhoksukon
20200426,20.51,Lhoksukon
20200427,3.54,Lhoksukon
20200428,6.07,Lhoksukon
20200429,7.32,Lhoksukon
20200430,10.46,Lhoksukon
20200501,5.19,Lhoksukon
20200502,17.05,Lhoksukon
20200503,24.63,Lhoksukon
20200504,19.64,Lhoksukon
20200505,12.02,Lhoksukon
20200506,7.56,Lhoksukon
20200507,16.22,Lhoksukon
20200508,55.79,Lhoksukon
20200509,35.01,Lhoksukon
20200510,47.48,Lhoksukon
20200511,26.78,Lhoksukon
20200512,3.92,Lhoksukon
20200513,13.25,Lhoksukon
20200514,17.96,Lhoksukon
20200515,10.02,Lhoksukon
20200516,12.96,Lhoksukon
20200517,4.35,Lhoksukon
20200518,1.17,Lhoksukon
20200519,23.4,Lhoksukon
20200520,1.7,Lhoksukon
20200521,0.61,Lhoksukon
20200522,1.73,Lhoksukon
20200523,2.55,Lhoksukon
20200524,1.87,Lhoksukon
20200525,4.61,Lhoksukon
20200526,7.39,Lhoksukon
20200527,0.96,Lhoksukon
20200528,22.67,Lhoksukon
20200529,17.61,Lhoksukon
20200530,0.23,Lhoksukon
20200531,1.33,Lhoksukon
20200601,13.65,Lhoksukon
20200602,9.88,Lhoksukon
20200603,2.39,Lhoksukon
20200604,5.26,Lhoksukon
20200605,3.41,Lhoksukon
20200606,0.94,Lhoksukon
20200607,1.36,Lhoksukon
20200608,0.52,Lhoksukon
20200609,1.79,Lhoksukon
20200610,1.36,Lhoksukon
20200611,17.18,Lhoksukon
20200612,5.87,Lhoksukon
20200613,1.2,Lhoksukon
20200614,0.99,Lhoksukon
20200615,21.84,Lhoksukon
20200616,2.91,Lhoksukon
20200617,2.65,Lhoksukon
20200618,5.13,Lhoksukon
20200619,1.16,Lhoksukon
20200620,18.01,Lhoksukon
20200621,14.38,Lhoksukon
20200622,6.73,Lhoksukon
20200623,1.38,Lhoksukon
20200624,6.86,Lhoksukon
20200625,9.16,Lhoksukon
20200626,11.85,Lhoksukon
20200627,0.31,Lhoksukon
20200628,0.61,Lhoksukon
20200629,0.68,Lhoksukon
20200630,9.76,Lhoksukon
20200701,10.19,Lhoksukon
20200702,0.6,Lhoksukon
20200703,0.77,Lhoksukon
20200704,0.6,Lhoksukon
20200705,13.22,Lhoksukon
20200706,5.65,Lhoksukon
20200707,3.39,Lhoksukon
20200708,2.27,Lhoksukon
20200709,1.23,Lhoksukon
20200710,7.09,Lhoksukon
20200711,2.34,Lhoksukon
20200712,1.48,Lhoksukon
20200713,3.53,Lhoksukon
20200714,1.55,Lhoksukon
20200715,1.91,Lhoksukon
20200716,2.14,Lhoksukon
20200717,5.57,Lhoksukon
20200718,1.42,Lhoksukon
20200719,1.35,Lhoksukon
20200720,1.15,Lhoksukon
20200721,14.35,Lhoksukon
20200722,4.75,Lhoksukon
20200723,5.67,Lhoksukon
20200724,1.97,Lhoksukon
20200725,2.7,Lhoksukon
20200726,29.53,Lhoksukon
20200727,20.02,Lhoksukon
20200728,35.26,Lhoksukon
20200729,3.8,Lhoksukon
20200730,3.45,Lhoksukon
20200731,2.75,Lhoksukon
20200801,3.0,Lhoksukon
20200802,1.27,Lhoksukon
20200803,2.52,Lhoksukon
20200804,0.44,Lhoksukon
20200805,0.38,Lhoksukon
20200806,0.2,Lhoksukon
20200807,0.34,Lhoksukon
20200808,2.42,Lhoksukon
20200809,0.59,Lhoksukon
20200810,3.15,Lhoksukon
20200811,1.37,Lhoksukon
20200812,1.82,Lhoksukon
20200813,3.72,Lhoksukon
20200814,0.14,Lhoksukon
20200815,0.25,Lhoksukon
20200816,0.13,Lhoksukon
20200817,0.28,Lhoksukon
20200818,3.7,Lhoksukon
20200819,0.91,Lhoksukon
20200820,2.0,Lhoksukon
20200821,1.2,Lhoksukon
20200822,0.97,Lhoksukon
20200823,3.32,Lhoksukon
20200824,3.3,Lhoksukon
20200825,1.59,Lhoksukon
20200826,0.68,Lhoksukon
20200827,1.26,Lhoksukon
20200828,2.51,Lhoksukon
20200829,4.42,Lhoksukon
20200830,0.73,Lhoksukon
20200831,12.29,Lhoksukon
20200901,12.67,Lhoksukon
20200902,2.94,Lhoksukon
20200903,4.56,Lhoksukon
20200904,2.74,Lhoksukon
20200905,4.29,Lhoksukon
20200906,4.64,Lhoksukon
20200907,2.93,Lhoksukon
20200908,5.58,Lhoksukon
20200909,5.06,Lhoksukon
20200910,6.54,Lhoksukon
20200911,3.22,Lhoksukon
20200912,3.53,Lhoksukon
20200913,3.0,Lhoksukon
20200914,3.77,Lhoksukon
20200915,4.71,Lhoksukon
20200916,2.52,Lhoksukon
20200917,2.31,Lhoksukon
20200918,4.12,Lhoksukon
20200919,3.18,Lhoksukon
20200920,4.39,Lhoksukon
