kecamatan,ph_tanah,tanah_liat,tanah_pasir,tanah_debu,tekstur_tanah
Lhoksukon,5.4,33.7,33.9,32.4,Aluvial
Matangkuli,5.4,32.6,30.1,37.4,Aluvial
Tanah Luas,5.3,32.4,33.2,34.5,Podsolik
Dewantara,5.4,35.1,35.6,29.3,Aluvial
Muara Batu,5.2,34.1,38.7,27.2,Aluvial
Sawang,5.2,34.6,34.5,30.9,Podsolik
Nisam,5.4,31.7,35.1,33.2,Aluvial
Nisam Antara,5.3,38.9,32.6,28.5,Podsolik
Kuta Makmur,5.4,35.0,34.8,30.2,Podsolik
Simpang Kramat,5.5,31.9,30.5,37.5,Podsolik
Syamtalira Bayu,5.8,33.0,33.0,34.0,Aluvial
Syamtalira Aron,5.6,31.1,32.4,36.4,Aluvial
Tanah Pasir,5.6,34.0,31.5,34.5,Aluvial
Samudera,5.8,33.0,33.0,34.0,Aluvial
Baktiya,5.5,35.6,27.6,36.8,Aluvial
Baktiya Barat,5.5,35.6,31.6,32.8,Aluvial
Seunuddon,5.6,39.6,25.9,34.5,Aluvial
Tanah Jambo Aye,5.5,36.3,32.1,31.6,Aluvial
Langkahan,5.3,36.0,33.4,30.6,Podsolik
Cot Girek,5.1,35.3,36.5,28.3,Podsolik
Nibong,5.2,40.1,27.9,32.0,Aluvial
Pirak Timur,5.4,35.3,29.0,35.7,Aluvial
Banda Baro,5.3,36.4,34.3,29.3,Aluvial
Meurah Mulia,5.1,36.2,35.9,28.0,Aluvial
Paya Bakong,4.9,34.1,38.3,27.6,Podsolik
Lapang,5.2,37.5,33.3,29.2,Aluvial
Geuredong Pase,5.2,35.6,32.7,31.6,Podsolik
