komoditas,suhu_c,curah_hujan_mm_tahun,kelembapan_persen,ph_tanah,tanah_liat_persen,tanah_pasir_persen,tanah_debu_persen,tekstur_tanah,elevasi_mdpl,label_kelayakan
Padi,24.2,2130,78,6.6,36,54,10,Lempung,60,Layak
Padi,25.5,2207,83,6.3,37,54,9,Lempung,316,Sangat Layak
Padi,28.9,1807,87,6.5,25,37,38,Lempung,108,Layak
Padi,26.6,2298,81,6.0,16,49,35,Lempung,365,Sangat Layak
Padi,26.3,2492,86,6.1,16,34,50,Aluvial,464,Sangat Layak
Padi,30.7,1499,73,7.3,36,24,40,Lempung Berliat,736,Kurang Layak
Padi,26.9,2234,86,6.4,22,40,38,Aluvial,494,Sangat Layak
Padi,25.3,2267,80,6.0,43,40,17,Lempung,229,Sangat Layak
Padi,28.5,2370,80,6.0,32,54,14,Lempung Berliat,250,Sangat Layak
Padi,27.5,2234,90,5.7,30,25,45,Aluvial,529,Layak
Padi,25.8,2529,83,6.1,34,49,17,Lempung Berliat,362,Sangat Layak
Padi,22.7,3193,72,5.2,45,36,19,Lempung Berliat,860,Kurang Layak
Padi,30.6,3219,71,7.4,31,20,49,Aluvial,802,Kurang Layak
Padi,31.5,1779,94,5.2,17,54,29,Lempung,727,Kurang Layak
Padi,23.0,3347,93,7.3,27,43,30,Aluvial,0,Kurang Layak
Padi,25.4,2055,83,6.3,16,34,50,Aluvial,168,Sangat Layak
Padi,23.5,3077,70,7.3,40,50,10,Aluvial,740,Kurang Layak
Padi,26.1,2293,88,5.6,35,26,39,Lempung Berliat,42,Layak
Padi,28.3,2219,79,6.2,28,31,41,Aluvial,257,Sangat Layak
Padi,22.5,3035,92,5.4,39,35,26,Aluvial,0,Kurang Layak
Padi,30.4,1659,93,5.2,38,55,7,Aluvial,802,Kurang Layak
Padi,28.7,2457,82,6.5,33,50,17,Lempung Berliat,351,Sangat Layak
Padi,28.7,2097,79,6.3,36,35,29,Lempung Berliat,309,Sangat Layak
Padi,27.3,2486,81,6.3,31,40,29,Aluvial,532,Sangat Layak
Padi,25.9,2118,77,6.5,29,40,31,Aluvial,650,Layak
Padi,27.4,2445,78,6.3,31,36,33,Lempung,195,Sangat Layak
Padi,30.7,1499,92,7.3,15,55,30,Aluvial,0,Kurang Layak
Padi,28.4,2574,79,6.1,21,41,38,Lempung Berliat,225,Sangat Layak
Padi,30.5,3018,93,5.3,19,60,21,Lempung,734,Kurang Layak
Padi,26.6,1811,76,6.8,43,29,28,Lempung,381,Layak
Padi,24.9,1952,79,6.8,40,22,38,Aluvial,629,Layak
Padi,28.0,2224,83,6.8,34,29,37,Aluvial,648,Layak
Jagung,33.7,1806,82,7.6,42,35,23,Lempung Berpasir,0,Kurang Layak
Jagung,26.6,1334,66,6.9,26,39,35,Lempung Berpasir,1038,Sangat Layak
Jagung,29.2,1295,67,6.1,39,37,24,Latosol,616,Sangat Layak
Jagung,30.5,1369,75,6.2,23,31,46,Regosol,822,Sangat Layak
Jagung,28.9,1266,73,6.4,31,27,42,Latosol,646,Sangat Layak
Jagung,26.6,1315,70,6.8,36,32,32,Lempung Berpasir,627,Sangat Layak
Jagung,33.3,1833,83,7.4,37,38,25,Latosol,1586,Kurang Layak
Jagung,33.9,1881,80,5.6,33,58,9,Regosol,1709,Kurang Layak
Jagung,28.6,1614,79,6.8,36,25,39,Latosol,425,Layak
Jagung,27.3,1636,75,6.7,22,32,46,Lempung Berpasir,221,Layak
Jagung,28.4,1538,64,6.4,35,56,9,Latosol,475,Sangat Layak
Jagung,28.1,1159,72,6.8,42,26,32,Lempung Berpasir,1000,Sangat Layak
Jagung,30.4,1359,64,6.3,42,27,31,Regosol,710,Sangat Layak
Jagung,31.9,1435,79,7.0,34,52,14,Latosol,640,Layak
Jagung,26.1,1675,69,6.9,23,53,24,Lempung Berpasir,726,Layak
Jagung,26.7,1234,67,6.3,32,25,43,Lempung Berpasir,424,Sangat Layak
Jagung,27.0,1195,69,6.4,29,46,25,Regosol,356,Sangat Layak
Jagung,29.6,1590,64,6.8,33,44,23,Regosol,729,Sangat Layak
Jagung,28.0,1561,74,6.5,38,54,8,Lempung Berpasir,1019,Sangat Layak
Jagung,26.9,1337,67,6.7,40,45,15,Regosol,1086,Layak
Jagung,33.2,1959,80,5.4,23,44,33,Regosol,0,Kurang Layak
Jagung,27.7,1576,76,6.2,17,50,33,Latosol,29,Layak
Jagung,30.4,1201,64,6.9,45,35,20,Lempung Berpasir,479,Sangat Layak
Jagung,26.7,1326,62,7.1,29,36,35,Lempung Berpasir,1150,Layak
Jagung,31.7,1546,75,6.0,24,26,50,Regosol,868,Layak
Jagung,31.4,1237,78,6.1,33,60,7,Latosol,364,Layak
Jagung,31.0,1440,62,7.2,40,22,38,Regosol,520,Layak
Jagung,25.5,1482,60,6.4,30,26,44,Regosol,650,Layak
Jagung,30.8,1536,68,6.8,45,37,18,Latosol,923,Layak
Jagung,28.3,1643,71,6.3,23,48,29,Regosol,365,Layak
Jagung,29.7,1202,69,6.3,30,33,37,Regosol,532,Layak
Jagung,30.1,1458,67,6.1,45,32,23,Latosol,377,Sangat Layak
Kedelai,27.9,1240,69,6.7,29,21,50,Latosol,83,Layak
Kedelai,25.7,1664,67,6.5,26,47,27,Grumosol,897,Layak
Kedelai,28.4,1362,67,6.1,21,40,39,Grumosol,244,Sangat Layak
Kedelai,31.5,2083,84,7.4,41,32,27,Lempung,0,Kurang Layak
Kedelai,27.6,1364,75,6.4,37,28,35,Lempung,524,Sangat Layak
Kedelai,25.5,1370,69,6.3,45,23,32,Lempung,316,Sangat Layak
Kedelai,25.7,1495,70,6.5,45,39,16,Latosol,226,Sangat Layak
Kedelai,28.6,1563,73,6.2,31,44,25,Lempung,423,Sangat Layak
Kedelai,27.9,1457,70,6.1,45,26,29,Latosol,691,Sangat Layak
Kedelai,25.9,1081,64,6.5,28,48,24,Lempung,620,Layak
Kedelai,26.4,1624,72,6.4,36,34,30,Grumosol,678,Sangat Layak
Kedelai,29.6,1197,62,6.1,19,37,44,Latosol,744,Layak
Kedelai,28.7,1557,73,6.7,29,27,44,Lempung,433,Sangat Layak
Kedelai,30.6,1500,69,5.9,16,47,37,Grumosol,661,Layak
Kedelai,25.8,1777,74,6.5,45,21,34,Grumosol,719,Sangat Layak
Kedelai,32.6,844,58,7.2,41,51,8,Lempung,1027,Kurang Layak
Kedelai,28.2,1714,68,6.5,24,45,31,Grumosol,619,Sangat Layak
Kedelai,25.8,1351,65,6.6,42,52,6,Latosol,625,Sangat Layak
Kedelai,27.8,1413,63,6.2,39,51,10,Latosol,562,Layak
Kedelai,27.7,1756,69,6.5,35,58,7,Grumosol,611,Sangat Layak
Kedelai,27.7,1531,65,6.8,44,27,29,Latosol,429,Sangat Layak
Kedelai,25.1,1932,65,6.6,28,50,22,Latosol,882,Layak
