date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOT,WS2M,kecamatan
2020-01-01,23.09,27.42,19.49,85.02,,1.2,Sawang
2020-01-02,22.97,27.5,19.07,84.41,,1.23,Sawang
2020-01-03,23.56,27.5,20.59,88.64,,1.11,Sawang
2020-01-04,23.6,27.77,20.94,87.54,,1.08,Sawang
2020-01-05,23.52,27.54,20.41,86.0,,0.9,Sawang
2020-01-06,23.45,27.58,20.5,86.86,,1.0,Sawang
2020-01-07,23.12,27.57,19.18,85.98,,0.92,Sawang
2020-01-08,23.71,28.12,19.86,86.71,,1.01,Sawang
2020-01-09,23.44,27.08,20.56,89.81,,0.8,Sawang
2020-01-10,23.84,27.76,20.81,84.58,,0.86,Sawang
2020-01-11,23.34,26.07,21.35,90.91,,0.84,Sawang
2020-01-12,23.66,27.21,21.35,88.23,,0.82,Sawang
2020-01-13,24.01,27.88,21.18,87.29,,0.87,Sawang
2020-01-14,24.4,28.04,21.92,87.8,,0.81,Sawang
2020-01-15,23.69,27.87,19.95,87.04,,0.87,Sawang
2020-01-16,23.85,27.94,21.02,86.24,,0.94,Sawang
2020-01-17,24.01,28.11,20.97,87.0,,0.87,Sawang
2020-01-18,24.06,28.28,20.41,86.6,,0.93,Sawang
2020-01-19,24.19,28.07,21.04,88.21,,0.81,Sawang
2020-01-20,24.32,28.22,21.55,90.03,,0.95,Sawang
2020-01-21,23.66,27.13,21.26,90.8,,0.95,Sawang
2020-01-22,23.57,27.7,20.53,87.86,,1.13,Sawang
2020-01-23,23.82,28.29,20.08,87.15,,0.9,Sawang
2020-01-24,24.34,28.54,21.66,87.92,,0.9,Sawang
2020-01-25,24.15,28.41,21.05,86.77,,0.92,Sawang
2020-01-26,23.85,27.53,21.4,86.04,,0.91,Sawang
2020-01-27,23.97,27.22,21.32,90.52,,1.19,Sawang
2020-01-28,24.22,27.75,22.17,90.84,,1.18,Sawang
2020-01-29,23.12,26.1,21.05,90.87,,1.03,Sawang
2020-01-30,23.37,27.24,20.13,87.91,,0.97,Sawang
2020-01-31,23.43,26.75,21.31,88.72,,1.24,Sawang
2020-02-01,24.08,28.32,20.42,86.6,,0.97,Sawang
2020-02-02,23.73,25.6,21.92,93.84,,1.28,Sawang
2020-02-03,23.35,27.63,20.38,86.79,,1.1,Sawang
2020-02-04,23.05,27.28,19.54,83.19,,1.01,Sawang
2020-02-05,23.02,27.58,18.82,84.77,,0.84,Sawang
2020-02-06,23.79,27.32,20.82,88.09,,1.08,Sawang
