date,Suhu rata-rata,Suhu maksimum,Suhu minimum,Kelembapan udara,Kecepatan angin,kecamatan,jenis_tanah,resiko_bencana,target_commodity
1/1/2020,23.09,27.42,19.49,85.02,1.2,Sawang,Podsolik,Rendah,Jagung
1/2/2020,22.97,27.5,19.07,84.41,1.23,Sawang,Podsolik,Rendah,Jagung
1/3/2020,23.56,27.5,20.59,88.64,1.11,Sawang,Podsolik,Rendah,Jagung
1/4/2020,23.6,27.77,20.94,87.54,1.08,Sawang,Podsolik,Rendah,Jagung
1/5/2020,23.52,27.54,20.41,86,0.9,Sawang,Podsolik,Rendah,Jagung
1/6/2020,23.45,27.58,20.5,86.86,1,Sawang,Podsolik,Rendah,Jagung
1/7/2020,23.12,27.57,19.18,85.98,0.92,Sawang,Podsolik,Rendah,Jagung
1/8/2020,23.71,28.12,19.86,86.71,1.01,Sawang,Podsolik,Rendah,Jagung
1/9/2020,23.44,27.08,20.56,89.81,0.8,Sawang,Podsolik,Rendah,Jagung
1/10/2020,23.84,27.76,20.81,84.58,0.86,Sawang,Podsolik,Rendah,Jagung
1/11/2020,23.34,26.07,21.35,90.91,0.84,Sawang,Podsolik,Rendah,Jagung
1/12/2020,23.66,27.21,21.35,88.23,0.82,Sawang,Podsolik,Rendah,Jagung
1/13/2020,24.01,27.88,21.18,87.29,0.87,Sawang,Podsolik,Rendah,Jagung
1/14/2020,24.4,28.04,21.92,87.8,0.81,Sawang,Podsolik,Rendah,Jagung
1/15/2020,23.69,27.87,19.95,87.04,0.87,Sawang,Podsolik,Rendah,Jagung
1/16/2020,23.85,27.94,21.02,86.24,0.94,Sawang,Podsolik,Rendah,Jagung
1/17/2020,24.01,28.11,20.97,87,0.87,Sawang,Podsolik,Rendah,Jagung
1/18/2020,24.06,28.28,20.41,86.6,0.93,Sawang,Podsolik,Rendah,Jagung
1/19/2020,24.19,28.07,21.04,88.21,0.81,Sawang,Podsolik,Rendah,Jagung
1/20/2020,24.32,28.22,21.55,90.03,0.95,Sawang,Podsolik,Rendah,Jagung
1/21/2020,23.66,27.13,21.26,90.8,0.95,Sawang,Podsolik,Rendah,Jagung
1/22/2020,23.57,27.7,20.53,87.86,1.13,Sawang,Podsolik,Rendah,Jagung
1/23/2020,23.82,28.29,20.08,87.15,0.9,Sawang,Podsolik,Rendah,Jagung
1/24/2020,24.34,28.54,21.66,87.92,0.9,Sawang,Podsolik,Rendah,Jagung
1/25/2020,24.15,28.41,21.05,86.77,0.92,Sawang,Podsolik,Rendah,Jagung
