kecamatan,ph_tanah_mean
Seunuddon,6.089707722
Lapang,6.048148687
Tanah Pasir,5.904241336
Baktiya Barat,5.774570835
Dewantara,5.723404588
Muara Batu,5.709311599
Samudera,5.702738669
Kuta Makmur,5.674760351
Syamtalira Aron,5.64021617
Banda Baro,5.621820758
Nisam,5.600229852
Simpang Keramat,5.58830765
Syamtalira Bayu,5.585607833
Meurah Mulia,5.539148821
Nibong,5.508066184
Tanah Luas,5.493115303
Nisam Antara,5.465641881
Matangkuli,5.450660304
Sawang,5.417490931
Geureudong Pase,5.396903838
Baktiya,5.370819599
Tanah Jambo Aye,5.306924641
Paya Bakong,5.286131778
Lhoksukon,5.224275869
Cot Girek,5.173634458
Pirak Timu,5.147915486
Langkahan,5.104735436
